# US -> British spelling map for scribe --dialect british.
# One pair per line: us<TAB>british (lowercase; case is reproduced at use).
# Covers irregulars the suffix rules (-ize/-ise, -yze/-yse) cannot: -our, -re,
# -ce, doubled -l, -ogue, and one-offs. Ambiguous words whose US spelling is
# also valid British in another sense (program, check, tire, curb, story,
# license-as-verb, practice-as-verb) are deliberately left out.
color	colour
colors	colours
colored	coloured
coloring	colouring
colorful	colourful
favor	favour
favors	favours
favored	favoured
favorite	favourite
favorites	favourites
flavor	flavour
flavors	flavours
flavored	flavoured
honor	honour
honors	honours
honored	honoured
honorable	honourable
humor	humour
humorous	humorous
labor	labour
labors	labours
neighbor	neighbour
neighbors	neighbours
neighborhood	neighbourhood
behavior	behaviour
behaviors	behaviours
harbor	harbour
rumor	rumour
rumors	rumours
savor	savour
vapor	vapour
vigor	vigour
odor	odour
splendor	splendour
armor	armour
endeavor	endeavour
endeavors	endeavours
center	centre
centers	centres
centered	centred
theater	theatre
theaters	theatres
fiber	fibre
fibers	fibres
liter	litre
liters	litres
meter	metre
meters	metres
caliber	calibre
somber	sombre
defense	defence
defenses	defences
offense	offence
offenses	offences
pretense	pretence
catalog	catalogue
catalogs	catalogues
dialog	dialogue
dialogs	dialogues
analog	analogue
traveler	traveller
travelers	travellers
traveled	travelled
traveling	travelling
canceled	cancelled
canceling	cancelling
cancellation	cancellation
modeled	modelled
modeling	modelling
labeled	labelled
labeling	labelling
counselor	counsellor
jeweler	jeweller
jewelry	jewellery
gray	grey
grayer	greyer
mustache	moustache
plow	plough
aluminum	aluminium
mold	mould
molds	moulds
molding	moulding
smolder	smoulder
cozy	cosy
pajamas	pyjamas
artifact	artefact
artifacts	artefacts
